source,target,weight
sandibinara,infobandaacehs,1
_be_worth_it,katadatacoid,1
sansthrift354,tumbuhkaya.id,1
satria395,otoproject,1
satriagasa,solehchemist,1
satriamedia,timesindonesia,1
satyarwida,radiopatria,1
satyrnus12,koranbaliexpress,1
sayidulmuhlisin,manofourtimeid,1
sayurmayurtasik,infobanyuwangi,1
selamatabdurrahman99,sindonews,1
sentot_id1,luarbioskop,1
serafina_aleexa,metrotv,1
sertifikasi_kompetensi,dewanenergi,1
sesaryadi10,webekspor,1
setiabuddi,banten.feeds,1
setyobudi843,tommybr_jipro,1
setyod2,daripresiden,1
sger_waras,infobanyuwangi,1
shashamarrysha,suaradotcom,1
silverstone0017,koranbaliexpress,1
sir.plants.alot,kompascom,1
sirdonda,sindonews,1
skimidot22,katadatacoid,1
slahs_gavi,sukabumiupdatecom,1
slaveoftool,jabarekspres,1
sonya_on,webekspor,1
spraspa,zonaebt,1
sri_dwiii2,rikasavvyy,1
ssoesan12769,theglobeconomy,1
sssaaaaaaalll,anaktambang,1
starleo164,bitorexpost,1
starvbest,updatenusantaracom,1
stempel_stampo,djebtke,1
stempel_stampo,pln.epi,1
stevejojonio,otoproject,1
suciati7885,metrotv,1
suhendroabuhaidar,harian.disway,1
sumartono.zia,vivacoid,1
suny1752,sindonews,1
supermie.hobbies,komparasinews.id,1
suryadigunawan,otoproject,1
susantitine,laporan8.id,1
swarnorudi,sindonews,1
syahrulnr23,genergibersih,1
syandy1212,genbanteng,1
syane.elis,sindonews,1
syauqi_mezal,satupersenofficial,1
syechraden,theglobeconomy,1
syukuropu,tuturmediadigital,1
syzahwa_,lifeatgenb,1
szahrxx,genergibersih,1
tadikayudika,laporan8.id,1
tamajuntak,luarbioskop,1
tata_ferdian,infobandaacehs,1
yudhstira.id,murianewscom,1
_jametbersatu,luarbioskop,1
tere616,kompascom,1
thedancingexplorer,naturevolution.id,1
theumunk,officialinewstv,1
tiar_19,sindonews,1
tii_aa37,genergibersih,1
tio.pangaribuan,koranbaliexpress,1
titisumiati,tuturmediadigital,1
tono.william,depokhariini,1
touristkeren,katadatacoid,1
tovan.z,metrotv,1
trashranger.id,genergibersih,1
tri.martu,sukabumiupdatecom,1
trijafayeldi,kompascom,1
tuanaqsa,infobandaacehs,1
tututata151,indo.flashid,1
tututata151,indovibing.id,1
tututata151,laporan8.id,1
tututata151,officialinewstv,1
tututata151,puspenpol,1
twentytwoninetyfour,sindonews,1
tyfany_cantika,tommybr_jipro,1
ubaid__nur,greenpowergrouptbk,1
ucup_6989,luarbioskop,1
ugint808,harian.disway,1
ugint808,sindonews,1
ujangaripp,bitorexpost,1
ujange_19,feedcollective.co,1
ukuimarlan,warta.dotcom,1
ulceland,katadatacoid,1
ull_unk89,heraldsulselbar,1
umarono2026,laporan8.id,1
uncle.dionsu,bitorexpost,1
urs4major_,bitorexpost,1
vdwntr30,feedcollective.co,1
veny.vixki,katadatacoid,1
verd7007,ahdahmaulana,1
veronicamay_dr,katadatacoid,1
vetboys24,sindonews,1
vickyhardinata,luarbioskop,1
viorettalinda,manofourtimeid,1
visyabiru_,ruteberkeadilan.jabar,1
vizhckerz,infobandaacehs,1
vrvalent46,anaktambang,1
wae.naim,tuturmediadigital,1
wahyu_triyuliantoro,otoproject,1
wahyu_zetyawan29,funderstand.id,1
wahyudineka46,sindonews,1
warasujitak,sindonews,1
warta.banyuwangi,timesindonesia,1
watse_84,jabarekspres,1
welgi_afdana31,officialinewstv,1
wendah490,anaktambang,1
wendrizal77,sindonews,1
whprakoso,cerah_indonesiaku,1
wildang_abu_fadhlan,sindonews,1
wilson_albasri,distanparikpml,1
wily_setia30,bitorexpost,1
winarta_akz,sindonews,1
winman007008009,anaktambang,1
wira.hadi.kusuma.7568,sindonews,1
